Customenumber,Organisationsnummer
6360135,5566647003
6930119,5565798302
6930044,5565872271
6630032,5568219512
6930028,5565953162
6250963,5566796099
6230049,559116-5781
6430219,5566858956
6730089,5566690490
6630149,5567633267
6430250,5567516041
6330252,5567783138
6330096,5567788459
1734,5567102925
6530059,5567608509
5030267,5566366380
2083,5565962023
5930565,5565783932
5830260,5562607605
5950936,5561736975
5830138,5561723338
5830146,5566637392
5930136,5563816148
5830393,5560575481
5930193,5566473756
6030050,5561898601
6059638,5561969295
6053771,5562277920
5830336,5563928745
5930458,5565221057
6130264,5562449677
6130058,5561488072
5731237,5566302468
5731245,5568485279
5830096,5565301925
5730098,5561942706
5730247,5564841301
5730205,5567783278
2149,5568149867
5830054,5568149818
5831672,5568149826
5850070,5568149834
5955711,5567132179
5730072,5566642467
6650174,5567633267
5731336,5561632232
6350350,5561632232
5959929,5561632232
5930003,5561632232
6250183,5561632232
6450416,5561632232
6550250,5561632232
6850092,5561632232
6850322,5561632232
18367,5561632232
5757356,7850001517
18537,556669-7255
18639,0
18640,0
18641,0
18678,0
18682,0
18754,5561632232
18761,5561632232
18764,5561632232
18773,5565036141
18779,5561632232
4502126,5565895934
4558102,5560305921
0120071,5561138826
0120105,5561138826
0162107,5560305921
0120360,5564638756
0120436,5565677308
0120451,5562314418
0120469,5561659888
12654,5563403657
0120543,5568091176
0121996, 5567481394
0131243,5566874847
0123059,5565894317
0150411,5560305921
0150546,5561632232
0153626,5561632232
0153630,5563427680
0155277,556163223201
1058,5561632232
0168641,5561632232
0556522,5565814778
0557207,5560305921
0570333,5560305921
0162230,5560305921
0757203,5560305921
0123737,5561632232
0160762,5560305921
0161059,5560305921
0161448,5560305921
0161638,5560305921
0161711,5560305921
0161745,5560305921
0167163,5562619998
0168260,5565985156
0155864,5561632232
0166793,5564616976
0123141,556059-2288
0120048,5561138826
0150151,5567798813
0176883,5565204921
0154187,556466-2673
0166058,5565564001
0124925,9696488445
0156171,5566859004
0120121,5567294557
0120493,5567900641
0131292,7509177072
0167452,5565219192
0171595,5565435855
0155781,5567279335
0155727,5567888812
12405,5561937227
0121822,5564954872
0120386,5560540212
0121350,5565073805
0165399,5563046027
0121970,5565632907
0127555,5565973186
0165175,5566444351
0120626,5566796081
0166637,5566796164
0122135,556899-4189
0122101,9166408469
0151086,5562973023
0555144,5561440578
0121434,5565193660
0550160,5562790054
0530001,5560864976
0120618,5565376133
0554741,5561771790
0554733,5565530549
18456,5567037642
16225,5567687164
0121442,5568370240
0735779,5566160064
0736421,9164100910
0735738,5560733502
0758151,5563658433
0534677,5565686580
0736074,5563978609
2154128,5563523322
2154995,5567895015
2154102,5562066588
2154011,5566539218
2154094,5568014277
2150330,5565215414
2136554,5564176930
2136703,5565492765
2153963,5567686554
2153971,5567465512
2154185,5565691895
2154003,7340002471
2154177,5566707468
2153997,5565691895
2154144,5563965820
11939,5568149875
11973,5566363098
2153922,5567316269
0120501,5566347679
0151457,5566489521
0121020,5565107066
0156274,5561632232
0120089,5561659888
0120147,5561659888
0123653,556165-9888
11921,5569107799
12235,5560305921
0161315,5560305921
0155903,5560305921
0161802,5560305921
12287,5560305921
0160804,5560305921
0160630,5560305921
0155022,5560305921
0160846,5560305921
0161034,5560305921
0155569,5560305921
0160531,5560305921
0160648,5560305921
0161679,5560305921
0162123,5560305921
0162172,5560305921
0160911,5560305921
0160556,5560305921
0152884,5560305921
12548,5565972451
0171744,5567128508
12646,5565894317
12658,5560893652
0156969,5561632232
2150051,5561632232
0155915,5568580681
0121780,5561632232
18382,5561632232
0156326,5561632232
0160861,5560305921
2136026,7340001325
0159889,5560305921
0162180,5560305921
16416,5560305921
16423,0
16447,0
16456,5567731228
16506,0
16528,0
17581,559053-0498
17584,5569753824
17712,556030-5921
18522,5590261359
18526,0
18624,0
18668,5590542071
18684,0
18691,0
18760,5561632232
18777,5561632232
18045,559053-0506
18604,0
superfruit,0
0357251,5560305921
0757252,5560305921
1115,5560305921
12217,5560305921
17840,0
18521,0
18554,0
12913,5567294573
5150046,5560305921
0700823,5560305921
5158084,5561632232
0330127,5561632232
4930186,5566698782
0719823,5561632232
4859856,5566355771
0730234,5561632232
0735720,5561138826
0756932,5566602172
0757484,5560305921
0758037,5560305921
1097,5560305921
4856886,5560305921
4557625,5560305921
4957320,5560305921
1101,5561632232
4930038,5561138826
4558557,5561632232
4857405,5560305921
4850108,5561632232
4850230,5561138826
4850465,5561632232
4830055,5566091129
4136123,7732002089
4502266,5560305921
4530234,5561632232
4550041,5561632232
4556387,5562020783
4530069,5562964394
0433193,5565146395
5630116,5561632232
3691516,5564934528
1749134,5564681467
5250525,5566971734
6030522,5566858949
4230033,5564651908
4299707,5564953817
4231064,5567292577
4198867,5562010925
4299517,5560529504
4299434,5561963710
4198735,6103035520
4455598,5564121654
4299400,5564585528
4257135,5561953356
4230355,5566534318
4150091,5561087338
4330270,4206116610
4430211,5565149498
4299343,556969-5595
4299335,5562831684
4299970,5560055419
4430476,5563897486
4299442,5562724798
4250452,5566581889
4299764,5565455085
4230702,5560803750
4230363,5560469438
4259875,5564561651
5530183,5566152178
5230164,5566335559
5530050, 556732-2382
5430103,5564147543
5430111,5561477521
5230180,5560844531
5230909,5567783146
5530332,5567295364
5254248,5566690557
5450003,5565391413
5230669,5566366406
1842,5568149859
5330196,5566325857
5230081,5566901566
5230149,5567836829
5258363,5566202619
5258439,5563883965
5250398,5566110473
5230107,5561057851
5308796,5566114194
5530167,5566545165
5250042,5567295299
5330147,5563467801
5250725,5567831390
5530126,5564681863
5230354,5560469461
5250766,5566794532
0332668,5564991692
4930301,9165806986
4658100,5567826366
4530135,5564277175
4630091,5567826366
4730115,5562402809
4530218,5565503967
4529996,5565503967
4530408,5565503967
4730024,5564758679
4530010,5565711503
4730065,5566196829
4530556,5565504171
4530630,5566490883
4531950,5561930545
4530440,5565961447
4630067,5567826366
0450635,5563429058
4530622,5566073465
4750568,5565764734
4730164,5564896537
4530275,5565791968
4530366,5567279426
4530051,5567316228
0433250,5567456693
4730008,5568014285
4530267,5564790276
4550547,5562235167
4530515,5566699806
4730248,5565780250
4530036,5563468072
4730040,5568219470
4530333,5565104196
4530176,5565845277
4730016,5565780250
0730325,5567279350
0730357,5566971650
4530127,5567527337
4730230,5564309432
0754135,5567558621
0758250,5567644868
2012,5563658557
2013,5567295232
5130034,5565001608
4830378,5561637892
5058029,5561617506
5155510,5561864850
4830139,5560449398
4830212,5561947978
4930202,5562728377
4930079,5565600227
0735811,5563174373
4929956,5565007571
4950614,5504086975
4930228,5564775715
4930053,5566004437
4830089,5565594826
4830105,5562689769
5030093,5566779525
4859765,5565776712
0758185,5565144119
0735951,5567897797
4859823,5566010822
4830295,5561156554
4830170,5567035281
4859989,5565702718
0735803,5566378955
4830006,5569721763
4859559,5562416502
4830766,5567591408
0358010,5568436777
4830253,5567257109
0332569,5567907315
0730037,5566250824
4830329,5565780268
4830154,5566155296
5058003,5567295091
4830535,5562104165
0332551,5566078787
0332635,5567279368
5630512,5568219421
5630264,5560012022
0766063,5560203282
4169041,5566159355
4098018,5564235025
4299426,5565556171
4299533,5565714424
4198693,5566472659
2575,559018-9832     
4250330,5568219488
4199030,556886-6668
4299392,5567700140
4299616,5565967675
4299368,5564036423
4259743,5561736991
2970457,5567294466
5330030,5561138826
5230248,5561138826
5230040,5561138826
4830709,5565646303
4730099,5566160072
5330014,5561138826
12029,5561138826
4299301,5561138826
5430020,5561138826
4730032,5567084511
5250005,5565242814
5357280, 556981-3156
12266,5560305921
5450108,5560305921
4557054,5560305921
4557674,5560305921
4857546,5560305921
17582,556981-3156
4857363,5560305921
5257753,5560305921
5257506,5560305921
12502,5560305921
0757328,5560305921
4800488,5560305921
5057237,5560305921
4969408,5560305921
5258520,5565972451
12559,5565972451
4930046,5566704994
12660,5567762181
4719225,5562192723
4550159,5564398120
4950134,5561632232
4299772,5561632232
4250226,5561632232
4630026,5561632232
4550628,5561632232
4860060,5561632232
5430012,5561632232
16236,5561632232
5256961,5561632232
5550019,5561632232
5359609,5561632232
5250556,5561632232
5230057,5561632232
5230073,5561632232
5530803,5561632232
5257423,5566976576
4257531,7732002089
4669560,7732002089
4257309,7732002089
4257564,7732002089
4257416,7732002089
4250551,7732002089
4257481,7732002089
4259081,7732002089
4257606,7732002089
4219655,7732002089
4550642,5560305921
4757308,5560305921
4557658,5560305921
4857538,5560305921
4557385,5560305921
4757340,5560305921
4957338,5560305921
5057278,5560305921
5457288,5560305921
4657367,7732002089
4657417,7732002089
4136099,7732002089
4669461,7732002089
16409,5565972451
16425,5568219470
16432,7732002089
16434,5560305921
16435,5560305921
16436,7732002089
16437,7732002089
16438,7732002089
16461,5560305921
16504,0
17508,5560305921
17522,0
17586,0
17661,773200-2089
17743,0
17745,0
17746,0
17748,0
17756,0
17757,0
18086,0
18565,0
18645,0
18749,5561632232
18757,5561632232
0657262,5560305921
0657379,5560305921
5157227,5560305921
5157250,5560305921
0757534,5560305921
1113,5560305921
5630256,5561138826
0122283,5564840485
0938712,5566195490
1748847,5566253356
7058332,5566213434
7030083,5566372594
6830012,5565073797
6956403,5566013313
6756845,5565761029
6830269,5565801858
7030216,5560977679
6730139,5562908185
6930184,5562171685
6830517,5565189148
7030570,5562627447
6730220,9164790553
6830806,9164785488
6930416,6211288938
6830095,5565724944
6830087,5565991295
7030356,9165974404
7030158,5590040166
7030299,5564185931
6230338,5907297815
6730477,5566080445
6730055,5566227889
6830293,5566048244
7030174,7104078923
6430128,5566266648
6230106,5566095229
6730048,5565865960
6630537,5564006939
6459770,5563255610
6630966,9164752561
6265391,4308267873
6430722,5568497944
6559579,5568355456
6431043,5562374479
6230650,9165875080
6419485,5565507455
6450168,5560932054
6430904,5564863222
0120072,5590574157
6431118,5562704089
6730097,5564047040
